# Detor
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.496391 0.405862 -0.05 -5.70936 0.0499156 178.325 2.21986 1000020040 649 1 0 1 0 0 1 
0.468984 0.135826 -0.05 4.96489 1.6293 176.581 2.2402 1000020040 1476 1 0 1 0 0 1 
-0.152446 0.087538 -0.05 -3.75759 0.645491 178.37 2.21757 1000020040 3634 1 0 1 0 0 1 
0.542194 -0.248873 -0.05 3.98669 1.2447 179.277 2.21105 1000020040 4259 1 0 1 0 0 1 
-0.197097 0.523882 -0.05 -0.902135 6.47205 178.368 2.21965 1000020040 4487 1 0 1 0 0 1 
0.563461 0.237971 -0.05 5.74569 1.03571 178.932 2.21661 1000020040 4512 1 0 1 0 0 1 
-0.522953 -0.429999 -0.05 -5.63292 -5.28371 178.712 2.21726 1000020040 4824 1 0 1 0 0 1 
-0.36021 0.0160098 -0.05 -2.44502 3.2691 176.682 2.23916 1000020040 5776 1 0 1 0 0 1 
-0.105901 -0.304834 -0.05 -1.03829 0.397265 178.466 2.22115 1000020040 5901 1 0 1 0 0 1 
0.36052 0.593857 -0.05 2.80313 4.23838 179.163 2.21259 1000020040 6077 1 0 1 0 0 1 
-0.231663 0.029519 -0.05 -0.914268 -0.119135 177.384 2.23322 1000020040 7466 1 0 1 0 0 1 
0.28907 0.709886 -0.05 1.18621 7.18238 179.412 2.20974 1000020040 9024 1 0 1 0 0 1 
-0.128735 0.554267 -0.05 1.32554 2.52223 178.658 2.21874 1000020040 9174 1 0 1 0 0 1 
0.0996815 0.233168 -0.05 -1.95281 -0.303625 177.937 2.22369 1000020040 10743 1 0 1 0 0 1 
-0.318597 -0.181525 -0.05 0.206782 -1.72509 178.682 2.2156 1000020040 11277 1 0 1 0 0 1 
0.19013 0.562664 -0.05 0.707422 6.14265 177.371 2.23343 1000020040 11505 1 0 1 0 0 1 
-0.508306 -0.439185 -0.05 -3.84703 -2.08985 178.764 2.21614 1000020040 11980 1 0 1 0 0 1 
0.528986 -0.48837 -0.05 5.42419 -3.49887 176.602 2.23715 1000020040 12718 1 0 1 0 0 1 
0.117426 -0.368225 -0.05 -0.725583 -3.63012 176.955 2.23747 1000020040 14397 1 0 1 0 0 1 
0.164127 -0.230075 -0.05 -1.80947 -2.31547 178.742 2.21436 1000020040 14644 1 0 1 0 0 1 
-0.19209 0.749005 -0.05 3.1567 11.904 179.129 2.20741 1000020040 14696 1 0 1 0 0 1 
-0.2365 -0.109841 -0.05 -3.91282 -0.0349472 176.952 2.23372 1000020040 14989 1 0 1 0 0 1 
0.0521955 0.439244 -0.05 0.911482 1.73671 178.391 2.22148 1000020040 15060 1 0 1 0 0 1 
-0.664795 0.138781 -0.05 -4.30853 1.18632 178.642 2.21807 1000020040 16248 1 0 1 0 0 1 
-0.400293 -0.16404 -0.05 -2.61603 -1.62541 179.341 2.20993 1000020040 16478 1 0 1 0 0 1 
0.155972 -0.434541 -0.05 3.73397 -4.12457 177.029 2.23372 1000020040 16797 1 0 1 0 0 1 
0.512062 -0.122262 -0.05 3.40063 0.902035 178.516 2.21839 1000020040 16836 1 0 1 0 0 1 
-0.0600738 0.266141 -0.05 -0.632255 -1.01927 178.682 2.21649 1000020040 16863 1 0 1 0 0 1 
-0.0461355 0.465267 -0.05 -0.0188825 0.77072 177.294 2.23224 1000020040 17151 1 0 1 0 0 1 
0.0989434 -0.473198 -0.05 -0.978776 -3.83897 177.846 2.22241 1000020040 17868 1 0 1 0 0 1 
0.0853671 -0.354311 -0.05 2.83085 -1.73661 177.83 2.22749 1000020040 18249 1 0 1 0 0 1 
0.669891 -0.430822 -0.05 6.45817 -4.52697 177.463 2.23055 1000020040 18570 1 0 1 0 0 1 
0.662127 -0.252109 -0.05 6.61882 -6.85543 178.985 2.21595 1000020040 19170 1 0 1 0 0 1 
-0.203891 0.431845 -0.05 -1.75375 2.1947 179.419 2.20805 1000020040 19276 1 0 1 0 0 1 
0.174326 -0.501285 -0.05 3.07028 -6.93394 177.432 2.23408 1000020040 20220 1 0 1 0 0 1 
-0.210532 -0.401802 -0.05 -1.29269 -5.20697 179.259 2.21448 1000020040 20429 1 0 1 0 0 1 
0.0486141 0.665726 -0.05 0.509255 6.16507 179.031 2.21531 1000020040 20484 1 0 1 0 0 1 
0.041667 -0.329885 -0.05 1.45868 -2.38487 177.731 2.22585 1000020040 20488 1 0 1 0 0 1 
0.538862 -0.405584 -0.05 5.37029 -1.34106 178.203 2.221 1000020040 20640 1 0 1 0 0 1 
0.16264 -0.290779 -0.05 4.46646 0.484658 178.473 2.21663 1000020040 20864 1 0 1 0 0 1 
0.0975828 0.297384 -0.05 2.59271 2.88283 177.54 2.22758 1000020040 21011 1 0 1 0 0 1 
-0.326491 -0.452163 -0.05 -0.294339 -2.58676 178.24 2.22507 1000020040 21272 1 0 1 0 0 1 
-0.243897 0.338168 -0.05 0.115026 1.59352 179.514 2.20618 1000020040 21908 1 0 1 0 0 1 
0.205858 -0.653069 -0.05 0.95023 -6.73501 178.123 2.22881 1000020040 22127 1 0 1 0 0 1 
0.161583 -0.555881 -0.05 3.14055 -2.38974 178.219 2.22322 1000020040 22138 1 0 1 0 0 1 
-0.18694 0.227346 -0.05 -0.388295 2.33571 178.715 2.21526 1000020040 22325 1 0 1 0 0 1 
-0.540153 -0.283834 -0.05 -4.01398 -4.73282 179.279 2.2121 1000020040 23542 1 0 1 0 0 1 
-0.176392 -0.617466 -0.05 -3.45386 -4.56544 177.801 2.22498 1000020040 24679 1 0 1 0 0 1 
-0.563609 0.260767 -0.05 -4.09607 -0.382029 176.944 2.23732 1000020040 24965 1 0 1 0 0 1 
0.421981 0.359939 -0.05 4.12824 1.53834 178.462 2.22167 1000020040 25332 1 0 1 0 0 1 
0.102218 0.423874 -0.05 4.09812 0.398049 177.79 2.22977 1000020040 25548 1 0 1 0 0 1 
0.292496 -0.0903106 -0.05 -0.249031 -0.740262 177.678 2.22818 1000020040 26491 1 0 1 0 0 1 
-0.313718 0.481579 -0.05 -3.08424 5.20975 179.034 2.2129 1000020040 26518 1 0 1 0 0 1 
0.154091 0.316395 -0.05 3.0257 1.49297 178.465 2.21822 1000020040 27344 1 0 1 0 0 1 
-0.569809 -0.368187 -0.05 -2.62851 -5.87075 178.558 2.22142 1000020040 27575 1 0 1 0 0 1 
-0.27548 -0.462635 -0.05 -2.05736 -2.51356 178.586 2.21835 1000020040 30516 1 0 1 0 0 1 
-0.187362 -0.556888 -0.05 -3.34403 -2.66256 179.239 2.21161 1000020040 31117 1 0 1 0 0 1 
0.751227 -0.156239 -0.05 7.11339 -1.47606 177.171 2.23043 1000020040 31270 1 0 1 0 0 1 
-0.0264728 0.311013 -0.05 0.372835 5.0245 177.425 2.23317 1000020040 31485 1 0 1 0 0 1 
-0.100663 -0.333125 -0.05 -3.26001 -3.3457 178.205 2.22055 1000020040 33364 1 0 1 0 0 1 
-0.0107477 -0.567765 -0.05 0.518449 -6.26032 177.65 2.22922 1000020040 33397 1 0 1 0 0 1 
-0.152046 -0.558951 -0.05 -1.53222 -1.98785 178.288 2.22338 1000020040 33919 1 0 1 0 0 1 
-0.534716 0.0108203 -0.05 -3.41346 0.671331 178.229 2.22363 1000020040 34456 1 0 1 0 0 1 
-0.704457 0.401912 -0.05 -8.16867 3.69978 178.972 2.21527 1000020040 35806 1 0 1 0 0 1 
-0.650524 -0.401307 -0.05 -5.34937 -4.06267 179.58 2.20811 1000020040 35857 1 0 1 0 0 1 
-0.2697 -0.741769 -0.05 -2.1456 -6.87503 178.176 2.22201 1000020040 35885 1 0 1 0 0 1 
-0.164728 0.561279 -0.05 -3.79407 4.41896 178.129 2.22402 1000020040 35897 1 0 1 0 0 1 
0.494393 0.458521 -0.05 4.80072 4.07424 179.174 2.213 1000020040 38366 1 0 1 0 0 1 
-0.202909 0.142503 -0.05 0.585587 1.73853 178.631 2.21467 1000020040 38611 1 0 1 0 0 1 
-0.554874 0.196142 -0.05 -5.65345 1.67677 178.382 2.21885 1000020040 38994 1 0 1 0 0 1 
-0.474015 0.0652871 -0.05 -3.05293 3.28661 178.752 2.21625 1000020040 40043 1 0 1 0 0 1 
-0.782257 -0.270187 -0.05 -8.33679 -3.02998 178.536 2.22042 1000020040 40739 1 0 1 0 0 1 
-0.422657 0.333902 -0.05 -2.54418 2.8677 178.515 2.21942 1000020040 41191 1 0 1 0 0 1 
-0.432594 0.351895 -0.05 -2.80801 3.8334 177.916 2.22741 1000020040 41600 1 0 1 0 0 1 
-0.527658 0.130037 -0.05 -5.63927 1.85959 177.013 2.234 1000020040 42792 1 0 1 0 0 1 
